省份,城市,确诊,死亡,治愈,时间
海南,境外输入,1,0,0,5/28/2020 8:55
海南,保亭,3,0,3,5/28/2020 8:55
海南,儋州,15,1,14,5/28/2020 8:55
海南,三亚,54,1,53,5/28/2020 8:55
海南,东方,3,1,2,5/28/2020 8:55
海南,万宁,13,0,13,5/28/2020 8:55
海南,澄迈县,9,1,8,5/28/2020 8:55
海南,昌江县,7,0,7,5/28/2020 8:55
海南,海口,39,0,39,5/28/2020 8:55
海南,琼海,6,1,5,5/28/2020 8:55
海南,临高县,6,0,6,5/28/2020 8:55
海南,陵水县,4,0,4,5/28/2020 8:55
海南,乐东,2,0,2,5/28/2020 8:55
海南,文昌,3,0,3,5/28/2020 8:55
海南,定安县,3,1,2,5/28/2020 8:55
海南,琼中县,1,0,1,5/28/2020 8:55
安徽,境外输入,1,0,1,5/28/2020 8:55
安徽,黄山,9,0,9,5/28/2020 8:55
安徽,宣城,6,0,6,5/28/2020 8:55
安徽,池州,17,0,17,5/28/2020 8:55
安徽,亳州,108,0,108,5/28/2020 8:55
安徽,六安,69,0,69,5/28/2020 8:55
安徽,宿州,41,0,41,5/28/2020 8:55
安徽,阜阳,155,0,155,5/28/2020 8:55
安徽,滁州,13,0,13,5/28/2020 8:55
安徽,安庆,83,0,83,5/28/2020 8:55
安徽,铜陵,29,0,29,5/28/2020 8:55
安徽,淮北,27,0,27,5/28/2020 8:55
安徽,马鞍山,38,0,38,5/28/2020 8:55
安徽,淮南,27,0,27,5/28/2020 8:55
安徽,蚌埠,160,5,155,5/28/2020 8:55
安徽,芜湖,34,0,34,5/28/2020 8:55
安徽,合肥,174,1,173,5/28/2020 8:55
江西,境外输入,2,0,2,5/28/2020 8:55
江西,九江,118,0,118,5/28/2020 8:55
江西,南昌,230,0,230,5/28/2020 8:55
江西,上饶,123,0,123,5/28/2020 8:55
江西,新余,130,0,130,5/28/2020 8:55
江西,抚州,72,0,72,5/28/2020 8:55
江西,吉安,22,0,22,5/28/2020 8:55
江西,赣州,76,1,75,5/28/2020 8:55
江西,萍乡,33,0,33,5/28/2020 8:55
江西,宜春,106,0,106,5/28/2020 8:55
江西,鹰潭,18,0,18,5/28/2020 8:55
江西,景德镇,6,0,6,5/28/2020 8:55
江西,赣江新区,1,0,1,5/28/2020 8:55
陕西,境外输入,63,0,63,5/28/2020 8:55
陕西,地区待确认,0,0,0,5/28/2020 8:55
陕西,渭南,15,0,15,5/28/2020 8:55
陕西,咸阳,17,0,17,5/28/2020 8:55
陕西,西安,120,3,117,5/28/2020 8:55
陕西,汉中,26,0,26,5/28/2020 8:55
陕西,杨凌,1,0,1,5/28/2020 8:55
陕西,韩城,1,0,1,5/28/2020 8:55
陕西,榆林,3,0,3,5/28/2020 8:55
陕西,商洛,7,0,7,5/28/2020 8:55
